project_num,project_name,SowKey
615476,Ancora | Web Maintenance 2023/2024,
597636,Ancora | Website Refresh (Phase 1 Homepage + Nav),
456588,Ancora: AAI Website Build,
480109,Ancora: Berks Technical Institute Rebuild,
488545,Ancora: Corporate Training Website,Ancora Education - Ancora Corporate Training - Website Build SOW
481309,Ancora: Edge Tech Academy Rebuild,
481310,Ancora: McCann School of Business & Tech Rebuild,
477885,Ancora: Miller-Motte Website Rebuild,Ancora Education - Miller-Motte College Social Media Pilot SOW
468518,Ancora: Non-Billable,
503839,Ancora: Social & Paid Media,
476553,Ancora: STVT Website Rebuild,
655486,APPF | CC Content Production,
644433,Appfolio | Content Execution 2023,
28581,ARCHIVED - LT - LaneTerralever Website Updates,
495321,Arcosanti | 2021 Retainer,
496201,Arcosanti | Social Strategy,
677067,Arena Sports | ABM Strategy,
432201,Arizona Boardwalk - Get Into It Production,SOW_ LaneTerralever OdySea _ Get Into It _ TV & Radio Production
526316,Arizona Cardinals,
144918,Arizona Department of Education - Media,
338498,Arizona Milk Producers,
344225,Arizona Milk Producers | Beckett's Table,
350261,Arizona Milk Producers | Brewery Video,AZ Milk Producers AZ Wilderness Brewery Video SOW - 10.08.18
161523,Arizona Tile ADA,
178468,Arizona Tile Commerce,
18238,Arizona Tile Sprint 0,
652579,Arizona Tile | Single Sign On,
653262,Arizona Tile | Website Maintenance 2024,
184040,ARS - 2016 Retainer [Q4],
207568,ARS - 2017 Retainer [Q1],
235965,ARS - 2017 Retainer [Q2],
268214,ARS - 2017 Retainer [Q3],
97199,ARS - INTERNAL FORECASTING,
259932,ARS - Non-Billable Work,
164551,ARS - Web Projects,
110848,ARS 2016 Retainer [Q1],
133419,ARS 2016 Retainer [Q2] - NEW,
157417,ARS 2016 Retainer [Q3],
102923,ARS In-Account Growth - SALES,
92875,ARS Phase 1: T&M [***OLD - DO NOT USE] ~,
106892,ARS Planning,
14512,ASBHC - Media Microsite,
514139,Aspire | Digital Current Recognition,
514140,Aspire | NEW Project,
503380,Aspire | Ongoing SEO,
550622,ASUL | Lodestar DM 2022,
643969,Atari | 2600+ Digital Media Campaign (Nov – Dec 2023),
418034,Atlas Technology: Social & PR Campaign (2019),Atlas Technology - PR SOW - 09.24.19
589737,Atlis Motor Vehicles | Re-brand 2023,
184734,AUTO - Autopay,
